,Unnamed: 0,date,id,nama,umur,id_produk,produk,brand,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,rekomendasi,warna_kulit,tone_kulit
9155,9155,2021-11-25T15:09:06.000Z,319256,innesdeviana,19 - 24,43161,UV Whitening 4 Beauty Benefits Two Way Cake Perfect Last,PIXY,4.3,(62),Indomaret,Two-way Cake,Powder,19 - 24,More than 1 year,n,5,innesdeviana recommends this product!,,
9156,9156,2021-11-25T15:08:53.000Z,984999,sebastians,19 - 24,86269,Butter Clay Mask With Calamine,Jacquelle,5,(19),Tokopedia,Wash-Off,Mask,Combination,Less than 1 week,n,5,sebastians recommends this product!,Medium Light,Neutral
9157,9157,2021-11-25T15:08:16.000Z,797419,desiwulandaridw,18 and Under,88204,Fit Me Matte & Poreless Cushion ,Maybelline,4.3,(1247),Sample,BB \\u0026 CC Cream,Face,19 - 24,Less than 1 week,y,5,desiwulandaridw recommends this product!,,
9158,9158,2021-11-25T15:06:46.000Z,985003,kusumahadi,18 and Under,86269,Butter Clay Mask With Calamine,Jacquelle,5,(8),Instagram,Wash-Off,Mask,19 - 24,6 months - 1 year,y,5,kusumahadi recommends this product!,,
9159,9159,2021-11-25T15:05:33.000Z,984997,TharyshaNM,25 - 29,86269,Butter Clay Mask With Calamine,Jacquelle,4.1,(277),Beauty Studio,Wash-Off,Mask,Combination,1 week - 1 month,n,5,TharyshaNM recommends this product!,Medium Dark,Warm
9160,9160,2021-11-25T15:04:48.000Z,658435,LutviEsa,19 - 24,5491,Facial Mask,Ovale,3.9,(2318),Alfamart,Wash-Off,Mask,18 and Under,1 week - 1 month,n,5,LutviEsa recommends this product!,,
9161,9161,2021-11-25T15:04:47.000Z,984995,yesicago,18 and Under,86269,Butter Clay Mask With Calamine,Jacquelle,4.6,(44),Brand website,Wash-Off,Mask,Dry,Less than 1 week,y,5,yesicago recommends this product!,Medium,Warm
9162,9162,2021-11-25T15:02:41.000Z,319256,innesdeviana,19 - 24,77868,Your Skin Bae Serum,AVOSKIN,4.1,(194),Shopee,Serum \\u0026 Essence,Treatment,Combination,6 months - 1 year,y,3,innesdeviana doesn't recommend this product! ,Medium,Neutral
9163,9163,2021-11-25T15:00:59.000Z,956547,septy11,30 - 34,54657,Acne Gentle Cleansing Foam,Azarine Cosmetics,4.1,(68),Shopee,Facial Wash,Cleanser,19 - 24,Less than 1 week,y,5,septy11 recommends this product!,,
9164,9164,2021-11-25T15:00:24.000Z,985001,Felisyakhu,19 - 24,81272,Disney Edition Complete Me! Face Palette,Jacquelle,4.5,(19),FD Try and Review,Face Palette,Face,19 - 24,1 week - 1 month,n,5,Felisyakhu recommends this product!,,
9165,9165,2021-11-25T15:00:20.000Z,985003,kusumahadi,19 - 24,83216,Primer Lipomask,Jacquelle,4.4,(16),Instagram,Mask Sheet,Mask,Oily,More than 1 year,y,5,kusumahadi recommends this product!,Medium,Neutral
9166,9166,2021-11-25T14:59:37.000Z,938201,illen_gzs,19 - 24,19264,Newcell Day Cream,Purbasari,3.9,(46),Shopee,Day Cream,Moisturizer,19 - 24,1 week - 1 month,y,5,illen_gzs recommends this product!,,
9167,9167,2021-11-25T14:58:49.000Z,985001,Felisyakhu,25 - 29,86650,Yogurt Sleeping Mask,Jacquelle,4.3,(2728),FD Try and Review,Sleeping Mask,Mask,19 - 24,1 week - 1 month,n,5,Felisyakhu recommends this product!,,
9168,9168,2021-11-25T14:57:29.000Z,984997,TharyshaNM,19 - 24,83216,Primer Lipomask,Jacquelle,4.6,(867),Beauty Studio,Mask Sheet,Mask,Normal,More than 1 year,n,5,TharyshaNM recommends this product!,Medium,Neutral
9169,9169,2021-11-25T14:57:25.000Z,939970,azahrabenita,25 - 29,88450,Miracles Hair Mask,Pantene,4.2,(670),FD Try and Review,Hair Mask,Treatment,18 and Under,Less than 1 week,y,4,azahrabenita recommends this product!,,
9170,9170,2021-11-25T14:56:28.000Z,984995,yesicago,25 - 29,83216,Primer Lipomask,Jacquelle,3.5,(331),Shopee,Mask Sheet,Mask,19 - 24,Less than 1 week,y,5,yesicago recommends this product!,,
9171,9171,2021-11-25T14:56:22.000Z,985001,Felisyakhu,30 - 34,86269,Butter Clay Mask With Calamine,Jacquelle,4.4,(643),FD Try and Review,Wash-Off,Mask,Dry,1 week - 1 month,n,5,Felisyakhu recommends this product!,Medium Light,Neutral
9172,9172,2021-11-25T14:55:38.000Z,651692,celcy21,25 - 29,74402,Ultralight Hydraglow Day Cream,Azarine Cosmetics,4.3,(67),Shopee,Day Cream,Moisturizer,Oily,3 months - 6 months,y,5,celcy21 recommends this product!,Medium,Neutral
9173,9173,2021-11-25T14:55:03.000Z,955023,ferendchen,25 - 29,76609,The Great Shield Sunscreen,AVOSKIN,4.8,(1387),Shopee,Sun Protection,Moisturizer,19 - 24,1 week - 1 month,y,4,ferendchen recommends this product!,,
9174,9174,2021-11-25T14:54:24.000Z,985004,frilia_audrey,18 and Under,81272,Disney Edition Complete Me! Face Palette,Jacquelle,4.8,(2048),FD Try and Review,Face Palette,Face,19 - 24,Less than 1 week,y,5,frilia_audrey recommends this product!,,
9175,9175,2021-11-25T14:54:19.000Z,985001,Felisyakhu,25 - 29,83216,Primer Lipomask,Jacquelle,4.6,(893),FD Try and Review,Mask Sheet,Mask,19 - 24,Less than 1 week,n,5,Felisyakhu recommends this product!,,
9176,9176,2021-11-25T14:53:56.000Z,984999,sebastians,25 - 29,83216,Primer Lipomask,Jacquelle,4.8,(56),Tokopedia,Mask Sheet,Mask,Dry,Less than 1 week,n,5,sebastians recommends this product!,Medium,Cool
9177,9177,2021-11-25T14:53:24.000Z,500532,dindasaputri,25 - 29,87553,Pore Tightening & Oil Control Moist Serum,Azarine Cosmetics,4.9,(1469),Instagram,Serum \\u0026 Essence,Treatment,19 - 24,1 week - 1 month,y,5,dindasaputri recommends this product!,,
9178,9178,2021-11-25T14:52:25.000Z,985001,Felisyakhu,19 - 24,83215,Primer Lipomask,Jacquelle,4.2,(407),FD Try and Review,Mask Sheet,Mask,Oily,Less than 1 week,n,5,Felisyakhu recommends this product!,Medium,Neutral
9179,9179,2021-11-25T14:52:21.000Z,938201,illen_gzs,19 - 24,6529,Cracked Heel Cream,Kanna,4.3,(620),Shopee,Foot Cream,Hand \\u0026 Foot,19 - 24,6 months - 1 year,y,5,illen_gzs recommends this product!,,
9180,9180,2021-11-25T14:51:21.000Z,985004,frilia_audrey,19 - 24,86650,Yogurt Sleeping Mask,Jacquelle,5,(41),FD Try and Review,Sleeping Mask,Mask,Normal,Less than 1 week,y,5,frilia_audrey recommends this product!,Medium,Neutral
9181,9181,2021-11-25T14:50:30.000Z,939970,azahrabenita,19 - 24,88451,Miracles Hair Mask ,Pantene,5,(40),FD Try and Review,Hair Mask,Treatment,19 - 24,Less than 1 week,y,5,azahrabenita recommends this product!,,
9182,9182,2021-11-25T14:49:24.000Z,985004,frilia_audrey,19 - 24,86269,Butter Clay Mask With Calamine,Jacquelle,4.3,(357),FD Try and Review,Wash-Off,Mask,Combination,Less than 1 week,y,5,frilia_audrey recommends this product!,Medium,Neutral
9183,9183,2021-11-25T14:48:54.000Z,56160,neysarahmaf,18 and Under,51748,Balance Priming Water,Studio Tropik,5,(18),Shopee,Corrector \\u0026 Primer,Face,Normal,3 months - 6 months,y,5,neysarahmaf recommends this product!,Medium Light,Neutral
9184,9184,2021-11-25T14:48:06.000Z,968467,iisnuraeni,19 - 24,6529,Cracked Heel Cream,Kanna,4,(25),Shopee,Foot Cream,Hand \\u0026 Foot,19 - 24,More than 1 year,y,5,iisnuraeni recommends this product!,,
9185,9185,2021-11-25T14:46:23.000Z,985004,frilia_audrey,19 - 24,83216,Primer Lipomask,Jacquelle,4.8,(187),FD Flash Sale,Mask Sheet,Mask,Oily,1 week - 1 month,y,5,frilia_audrey recommends this product!,Medium Dark,Neutral
